Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
Dtx3l,114,69,149,127,136,59,20,29,32,14,14,8
DTX46,136,79,177,165,182,85,48,55,95,41,48,27
DTX47,92,59,147,172,190,75,44,53,76,26,38,46
DTX8,43,53,107,105,108,45,30,25,36,10,37,13
DUR3,78,80,133,96,94,62,10,27,51,17,33,18
DUS3,17,28,47,42,36,25,10,14,42,17,15,12
dusp1-a,19,13,28,58,59,23,17,34,34,11,23,8
DUSP5,25,59,96,50,36,32,6,26,25,11,10,7
DUSP9,15,34,37,40,31,23,8,15,47,11,18,14
dVPE,93,105,202,134,130,53,40,54,87,29,46,18
dxs,21,35,65,151,93,52,36,34,92,22,30,32
Dync1h1,163,127,183,165,164,122,32,61,89,11,43,27
Dynll2,171,94,165,145,170,83,49,142,159,82,85,47
Dynlrb1,99,41,94,93,151,50,44,88,70,22,40,20
eag,22,36,48,66,36,31,43,47,114,29,45,22
EB1C,12,7,18,27,34,13,8,5,6,5,5,7
ebh,297,292,528,506,453,251,130,271,414,134,194,128
EBP1,228,187,323,414,349,233,86,173,320,107,166,79
EBP2,139,101,146,131,135,82,26,67,97,30,49,42
ECA1,240,168,344,267,250,158,77,93,150,60,88,64
ECE2,77,32,67,49,62,29,15,16,13,6,12,1
Ech1,103,69,157,105,167,58,30,56,62,29,32,22
ECHIA,118,64,154,87,166,46,9,50,40,16,14,10
ECI1,488,323,653,474,580,326,196,321,491,146,199,183
eco47IIM,48,36,81,69,88,35,52,32,46,19,22,18
ECU01_0970,5,6,8,16,22,5,5,10,13,0,8,10
Edrf1,147,114,297,233,237,124,88,125,186,74,86,70
Eefsec,2,0,0,3,5,3,0,1,2,1,2,1
EFHC1,180,269,474,471,457,224,47,156,145,56,76,74
efp,109,104,198,100,156,69,40,62,85,31,30,25
Eftud2,324,352,642,436,440,261,115,156,172,61,79,66
egl-4,51,53,106,154,171,43,38,55,56,16,25,49
egl-9,14,9,24,23,27,14,17,25,48,17,19,4
egl1,38,62,87,72,51,52,34,49,100,30,38,42
egl5,188,143,238,178,170,94,47,81,122,29,49,38
EGLN1,44,29,50,53,59,24,14,13,8,9,5,5
EGLN2,37,8,42,39,41,16,9,14,16,4,8,2
EGLN3,56,35,100,49,81,23,29,36,42,16,20,8
eglS,97,80,165,129,164,60,39,99,104,38,49,22
Ehd1,58,35,79,95,124,37,49,65,62,19,32,29
Ehhadh,117,87,210,102,123,49,37,54,70,24,35,18
EHMT1,131,93,169,175,184,58,31,70,74,21,42,29
eIF-2gamma,394,391,724,552,597,303,137,294,301,109,126,134
eIF-4E,294,273,431,334,411,204,72,160,191,67,85,45
eif3b,61,66,111,114,129,70,54,95,136,36,54,54
eif3g,138,109,175,160,178,89,23,82,98,30,36,26
eif3k,214,125,237,279,266,129,62,101,156,44,73,45
EIF4-A,64,37,105,104,116,37,60,104,100,41,45,45
Eif4a3,97,86,166,170,159,97,54,113,139,42,77,53
Eif4e1b,86,61,120,75,110,58,19,47,50,23,25,19
EIF4G,26,52,78,51,66,35,18,40,63,22,23,25
Elavl1,72,45,89,42,64,37,13,11,46,8,23,20
ELD1,37,46,87,86,64,46,20,14,10,7,18,11
ELF5A-3,1554,767,1784,1238,1760,748,381,1027,975,390,520,326
elmMI,96,71,126,93,113,79,25,44,49,20,22,11
EMB2076,3,7,4,6,0,3,15,3,3,1,0,1
EMB2654,167,112,232,201,280,111,116,141,194,62,88,55
EMB2745,287,259,461,440,461,184,81,137,176,73,89,70
EMB8,13,5,13,10,31,1,4,2,3,3,2,0
EMB976,60,31,56,58,70,28,12,29,21,8,17,2
EMC1,36,24,32,15,19,17,4,9,23,9,4,5
EML6,130,108,344,236,278,119,58,113,128,36,68,35
ENDOG,27,18,39,42,31,15,11,12,32,7,17,4
Endou,1,6,3,5,4,5,8,1,4,0,0,1
Endov,93,94,147,144,129,85,17,52,58,22,24,12
eng1,13,30,52,53,43,18,11,25,44,9,15,19
engB,49,38,83,106,89,43,24,51,52,27,35,26
ENKD1,43,14,51,21,39,21,13,30,32,10,9,11
ENO,192,175,306,341,310,172,84,136,165,87,120,104
Eno2,55,82,149,126,116,50,66,99,117,53,66,45
enol-1,7,3,11,2,3,1,13,7,4,2,11,0
ENT7,149,203,321,296,313,140,81,144,213,86,108,86
ENTPD2,18,9,22,15,27,9,14,12,17,10,17,4
EOGT,16,10,20,19,28,12,28,8,16,6,4,1
EPHX2,4,4,18,6,14,6,2,0,0,1,0,0
epi-1,149,217,369,408,363,186,105,150,223,104,153,122
Eprs,117,92,174,142,165,72,93,127,217,61,115,63
eps15,163,119,227,185,228,90,66,77,112,39,58,53
