Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
pkgB,23,24,33,46,28,18,30,65,45,90,20,32
PKH_140980,8,5,11,10,6,5,5,18,7,13,5,9
PKHD1,8,5,6,9,12,9,5,17,8,28,7,6
PKHD1L1,9,16,18,26,10,6,23,63,12,72,28,31
pkn1,115,142,146,214,131,88,68,97,68,154,22,37
pknD,236,290,363,395,238,157,114,216,117,370,48,137
pks3,21,29,34,26,17,11,9,18,16,35,6,10
pksL,57,45,47,49,46,48,30,73,45,73,16,33
pksN,0,2,0,3,2,2,2,0,2,3,0,0
pkwA,8,7,6,14,7,11,14,21,7,15,7,7
PL10A,11,13,10,16,2,3,4,4,5,10,7,1
Pla2g12a,2,1,1,2,0,1,1,3,0,3,3,6
PLA2G7,12,17,12,35,43,43,19,39,29,51,10,12
plbA,172,224,256,221,123,114,138,250,112,254,86,99
plbB,4,6,14,18,15,8,4,8,2,8,2,3
plcA,34,33,24,29,17,13,10,27,8,25,5,8
Plekha8,4,9,12,16,2,4,2,4,1,9,3,3
PLGG1,38,55,73,46,24,12,26,62,18,75,16,15
Plk5,5,9,17,14,7,4,7,10,2,13,6,3
PLOD3,20,27,29,32,19,11,19,53,15,29,8,18
PLR1,32,25,27,44,17,28,9,15,12,44,5,6
PLS1,56,54,72,82,52,52,54,86,53,125,23,30
Plscr1,37,35,42,26,18,16,18,27,10,58,13,13
pma1,14,32,24,35,15,18,9,22,11,18,5,10
Pmar_PMAR006239,7,8,9,4,7,0,2,2,5,7,0,4
Pmar_PMAR010279,10,20,17,43,18,21,23,51,26,65,19,29
Pmar_PMAR023133,9,14,14,14,7,12,6,12,14,23,7,11
pme-5,17,63,66,66,31,24,12,29,25,114,12,16
PMM,16,26,22,37,18,23,10,17,9,36,7,6
pmpA,16,41,37,52,34,21,24,56,27,60,19,24
pmpB,48,69,82,118,66,61,119,239,121,218,78,134
pnbA,97,133,146,161,82,54,88,179,82,171,50,70
