Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
LCD,101,115,92,84,76,43,72,45,46,106,29
LDJ2,102,133,158,124,111,38,85,37,31,84,20
Lgmn,266,343,380,375,418,224,310,174,232,439,129
lgrC,110,150,126,116,122,99,98,103,113,240,59
LIP,219,253,247,153,165,77,111,94,116,220,80
Lrguk,181,204,213,177,265,113,157,101,121,234,68
LRRC15,25,26,15,23,22,16,12,27,40,67,32
lsrG,290,301,249,242,318,104,197,129,108,230,63
Lztr1,238,293,286,242,261,96,200,91,78,178,65
MAP1B,259,246,279,121,157,105,120,119,134,234,79
mat2b,120,160,133,108,106,46,73,50,61,123,40
MCA1,131,185,211,307,447,117,318,100,112,239,87
Mcat,1798,2308,2098,2101,2437,974,1583,953,1022,2181,690
mco,224,262,273,188,279,118,161,126,112,246,88
mdtL,140,162,159,146,144,92,87,106,87,252,70
ME1,213,278,261,199,202,75,149,74,58,151,53
MEE40,444,589,563,395,517,336,385,284,313,689,218
metG,127,138,173,118,135,89,110,89,92,221,64
Mgat4c,191,256,207,176,228,113,165,134,132,276,82
Mgll,111,173,185,134,151,38,77,53,46,101,39
mhkC,155,209,201,104,128,60,71,53,62,144,44
mical1,159,229,227,143,176,40,125,40,57,115,45
MIMI_R795,84,117,130,103,147,68,70,70,67,168,43
MIP,132,123,140,135,140,62,99,74,61,147,44
MIR1,227,270,231,250,303,153,217,203,189,457,139
mkkA,137,196,170,118,107,26,74,32,20,50,18
ML2,114,134,107,83,109,75,79,72,76,124,61
ML3,491,514,627,415,476,259,354,200,202,435,139
ML4,616,698,678,572,829,373,557,405,408,742,247
ML5,305,395,390,303,514,180,327,200,209,407,120
mlkA,408,467,489,332,488,179,309,202,209,379,160
mmpL11,171,253,215,180,237,92,136,96,109,208,59
mns1,405,518,499,531,616,239,378,253,267,606,195
Mocos,250,337,329,269,346,158,263,168,158,402,140
mok11,558,565,477,447,477,278,307,334,290,578,196
mov10b.2,28,30,29,39,39,30,17,29,24,63,37
MPK4,34,44,47,53,38,27,47,39,31,76,30
Mpped1,231,240,264,195,229,152,197,145,167,302,111
mqo,311,438,428,377,512,182,352,200,226,439,127
MRL1,279,343,342,224,260,124,184,153,142,274,85
MSL10,67,89,116,114,153,53,100,66,77,128,45
MSRB5,191,221,200,126,129,74,100,81,67,162,46
MT2525,63,80,91,69,78,16,53,26,47,99,28
mtcA2,2704,3736,4222,2726,3786,1699,2621,1750,1942,3919,1255
MTERF2,186,178,191,144,200,63,124,64,60,146,33
MTPC1,182,232,233,124,212,143,162,141,155,297,74
Mtpn,28,33,33,20,33,7,20,17,19,35,11
MTR1,166,218,173,147,151,31,84,42,47,70,20
mycA,513,610,648,448,443,213,339,240,239,462,169
MYO2,199,179,147,163,149,48,96,48,42,100,31
Naaa,48,85,88,87,91,36,41,26,29,87,24
NaCP60E,413,559,596,441,527,260,362,240,218,515,123
NAMPT,269,341,308,283,325,189,221,193,184,367,137
nasB,147,224,229,168,195,70,178,45,57,129,39
NCS1,102,124,112,74,103,35,58,25,28,64,27
ndor1,871,1081,1046,782,1079,477,701,472,463,973,310
NEIL3,562,688,636,522,576,209,413,210,247,505,154
NEK1,1552,1952,1896,1698,1955,909,1271,939,936,1830,651
nek3,1431,1654,1614,993,1152,537,786,553,609,1199,412
Nek4,126,140,158,142,227,131,164,89,110,196,63
NEK5,15,12,6,17,14,52,21,80,89,181,91
NHD1,735,951,984,733,878,379,628,332,352,733,189
NIP4-1,365,400,377,348,377,357,328,369,399,899,347
nipblb,300,382,389,302,275,219,207,222,201,418,156
NLRC3,2871,3313,3145,3154,3660,2071,2890,2665,3207,3575,2114
NNT,338,531,558,279,492,200,347,156,192,405,136
No66,45,65,66,42,32,14,26,17,16,36,13
nolO,116,148,110,73,65,81,65,117,89,222,84
norA,529,664,655,415,515,279,346,246,299,614,218
Nova1,90,95,71,75,79,23,59,28,35,100,16
NPC1,524,591,591,475,545,265,371,304,328,663,215
NPF8.1,162,206,208,168,177,133,149,115,117,258,63
Nphp3,552,661,700,639,861,284,490,286,345,746,232
NRT2.5,2111,2275,2287,2457,1891,761,1268,711,659,1367,417
NSUN2,13,31,36,46,60,66,55,51,53,142,39
NUP116,298,416,467,312,391,209,274,194,227,455,134
och1,248,295,261,217,178,65,106,54,42,103,30
ODA11,84,112,104,136,208,54,134,115,127,271,99
ODA4,10,13,44,1,45,43,25,26,35,45,13
OGFOD2,134,158,158,200,214,50,118,43,60,115,29
Os02g0149800,524,614,595,495,491,302,354,327,293,637,237
Os05g0155601,252,285,321,185,228,72,159,82,107,178,46
Os06g0160700,159,240,295,178,252,118,199,119,125,275,78
Os07g0566200,207,226,240,258,284,133,172,112,137,288,85
osm1,771,925,1080,822,1126,377,827,404,552,1136,455
ovca2,330,327,315,213,294,156,222,143,162,315,113
p2xD,214,241,231,214,218,114,178,130,124,275,93
pab1,406,518,525,346,485,225,342,248,217,507,148
Pacrg,1204,1378,1334,1134,1355,540,904,627,627,1243,484
panB,180,281,310,154,235,87,137,80,67,158,68
PAO,150,179,184,152,213,110,179,119,133,280,88
PAP22,592,684,686,591,601,302,457,320,317,684,243
Parg,112,141,145,108,173,58,103,54,70,138,47
PARP11,203,258,253,166,214,199,167,202,200,430,99
Parp12,116,110,108,142,139,70,86,73,81,182,60
patB,243,335,415,239,415,162,268,192,149,345,81
Pcmtd1,144,192,168,112,136,92,95,83,73,164,59
PCNA,1253,1209,1069,1228,1383,648,972,676,625,1210,459
pcp,76,76,53,44,56,17,38,25,26,49,19
PCS3,188,226,249,164,143,70,113,76,68,170,45
PCSK5,409,446,420,311,306,197,179,139,164,333,123
PD_1893,160,174,178,139,144,120,107,106,116,218,86
Pde9a,244,305,328,238,379,213,253,222,228,478,159
Pdi,285,318,284,208,215,110,146,113,114,240,84
PDIL1-4,487,644,568,416,407,78,215,86,78,196,67
PDK2,357,364,356,284,316,131,210,112,135,300,84
PDK4,170,194,166,124,165,77,118,72,73,179,40
pds,96,100,134,98,102,73,100,85,105,195,57
pdx1,72,95,118,68,130,101,143,161,196,319,109
Pepd,30,38,34,26,36,18,23,24,23,48,19
PEPKR2,245,297,267,189,200,108,147,123,88,250,75
per,70,87,76,97,80,31,62,46,55,109,37
PETH,1260,1434,1541,1532,1828,929,1312,843,922,1941,664
PF11_0240,18,38,23,40,33,101,41,96,72,116,16
PF13_0198,1997,2702,2617,2134,2847,1322,1897,1323,1391,2709,896
PFK5,164,172,195,86,117,87,88,119,116,190,73
PFOR,1156,1437,1258,964,1298,722,865,672,688,1436,494
PGA,858,1106,1020,804,878,366,557,356,367,747,260
Pgc,356,390,422,339,354,148,229,135,148,312,110
PGK,779,759,654,701,868,578,696,591,635,1177,413
pgk-1,1653,2074,2166,2892,3323,1517,2160,1633,1699,3430,1130
PGK2,760,963,938,953,1110,360,709,350,363,753,274
PH1,140,158,144,241,246,94,138,85,93,160,36
PHT4;4,126,157,205,129,123,68,90,70,62,154,42
PIF1,53,68,59,37,53,19,57,30,35,63,24
pikAI,202,306,305,206,283,139,191,128,138,321,83
PIP5K1,318,401,450,329,313,130,206,142,146,245,83
PIP5K4,197,284,245,218,276,103,164,113,102,228,69
PIP5K9,376,385,335,344,380,206,275,164,173,459,176
pkaR,966,1068,1045,852,968,674,677,656,650,1289,401
pkar1,252,291,316,206,279,79,167,116,103,198,57
PKD2,1025,1235,1238,857,1157,722,811,711,740,1461,454
Pkg21D,111,187,107,136,149,86,91,105,110,208,67
PKHD1L1,47,71,127,42,134,142,89,68,83,170,62
pkn1,364,438,413,395,405,149,264,148,126,300,80
PLOD3,77,82,84,74,82,49,57,57,62,125,37
PLR1,80,87,93,92,98,15,58,20,24,48,19
pme-5,185,225,209,163,178,51,107,65,55,124,45
pmpB,170,247,233,185,289,237,209,245,235,473,174
pnbA,304,343,326,275,269,167,234,185,171,407,128
PNO,205,250,212,171,184,86,138,101,106,181,50
Pnpla2,361,496,497,248,249,102,203,113,107,233,87
PNS1,321,392,444,260,291,160,213,135,150,299,80
Pol,423,486,489,315,423,182,277,182,190,445,135
POLL,16,12,24,24,23,21,25,16,20,48,22
polr1c,29,49,47,40,37,52,31,57,53,123,28
PP2A4,219,286,247,259,194,105,154,104,89,248,74
