gene,logP
pdam_00000174,2.64636340119362
pdam_00000175,-0.0739573646932901
pdam_00000176,1.16540917677749
pdam_00000180,-0.233220041448289
pdam_00000181,-0.0641980159988354
pdam_00000182,-0.319957895122088
pdam_00000183,1.13912583052972
pdam_00000184,1.23283352538722
pdam_00000185,-0.112645578290889
pdam_00000187,6.51265643137554
pdam_00000188,-0.269391764315998
pdam_00000189,-7.63874447403731
pdam_00000190,-1.84980802463909
pdam_00000191,-0.0967417696965608
pdam_00000192,-0.216004699526855
pdam_00000194,-1.39781779818815
pdam_00000195,0.101223605047745
pdam_00000196,-1.55205606514368
pdam_00000197,0.325691846985642
pdam_00000198,-2.5276108656737
pdam_00000199,-1.18650938948025
pdam_00000201,1.44855374575205
pdam_00000202,1.20862681157369
pdam_00000203,4.22195127574014
pdam_00000204,-0.485968003168141
pdam_00000206,0.814659429901166
pdam_00000207,0.383327279254468
pdam_00000208,0.934316483137648
pdam_00000209,0.586228500283274
pdam_00000210,-2.46567476231448
pdam_00000211,-0.902247174863235
pdam_00000212,0.663204216460883
pdam_00000213,-0.0463436386864583
pdam_00000214,-0.433620162366014
pdam_00000215,-1.17135469048712
pdam_00000216,-2.78896305187115
pdam_00000217,-0.506778040628395
pdam_00000218,-14.1550691382131
pdam_00000219,-0.0919852212612405
pdam_00000220,2.033613565775
pdam_00000221,3.30822134851204
pdam_00000222,0.45628649896512
pdam_00000223,4.09723096122462
pdam_00000224,16.8562665317855
pdam_00000225,0.0984831365443026
pdam_00000226,0.277572632042972
pdam_00000227,0.922500252003691
pdam_00000228,0.606629805017893
pdam_00000229,-0.205779932119863
pdam_00000230,-0.972245202060161
pdam_00000231,-0.287181941021606
pdam_00000233,1.92453606877842
pdam_00000234,-0.0885652518879204
pdam_00000235,4.46136745920437
pdam_00000236,3.56329201072789
pdam_00000238,0.321614539965075
pdam_00000239,-0.245510201793995
pdam_00000241,-0.192390574129614
pdam_00000244,-0.1420016365966
pdam_00000245,-1.53861445045249
pdam_00000246,0.2573181074329
pdam_00000247,0.573526959816426
pdam_00000248,-0.266411631086191
pdam_00000249,NA
pdam_00000250,-0.186677060654798
pdam_00000251,0.21557663635989
pdam_00000252,0.00281226253880642
pdam_00000253,0.0783642588486266
pdam_00000254,-2.874104807501
pdam_00000255,-0.124811605806859
pdam_00000256,-2.0301453287102
pdam_00000257,1.93523927731851
pdam_00000258,2.557649186341
pdam_00000259,4.11649804299214
pdam_00000260,-2.97033861440729
pdam_00000261,-0.442057146727894
pdam_00000263,-0.0541703982169312
pdam_00000264,-1.79264504895377
pdam_00000266,-0.115074226483768
pdam_00000267,0.506412110773927
pdam_00000268,0.856270185804748
pdam_00000269,3.53962533538193
pdam_00000270,-0.246169704266806
pdam_00000271,-2.34055114545272
pdam_00000272,3.19489920515129
pdam_00000273,-0.667528058956604
pdam_00000274,0.346651216399195
pdam_00000275,-2.36520600053159
pdam_00000276,-10.1237572703147
pdam_00000277,-2.63523740203532
pdam_00000278,-0.780895591184901
pdam_00000279,1.64240868474388
pdam_00000280,3.31540971859733
pdam_00000281,2.05601829461123
pdam_00000282,-0.756592569610426
pdam_00000283,-2.17468283677423
pdam_00000284,-5.07199234200449
pdam_00000285,1.59947128162378
pdam_00000286,2.66795213749451
pdam_00000288,2.60686970987663
pdam_00000289,-0.218437211354733
pdam_00000290,0.0950180557256944
pdam_00000291,-0.633235461016684
pdam_00000292,-0.679086650564121
pdam_00000293,0.832030754351873
pdam_00000294,4.48986626054503
pdam_00000295,0.962198684101889
pdam_00000296,1.67188270617585
pdam_00000297,0.191014736812089
pdam_00000298,0.972969646188705
pdam_00000299,1.56887132503953
pdam_00000300,2.82515472705584
pdam_00000301,-3.34423145996272
pdam_00000302,2.83243798792054
pdam_00000303,4.99611156256135
pdam_00000304,2.87411352988534
pdam_00000305,-0.147804818564121
pdam_00000306,3.13693765078911
pdam_00000307,-1.24967873547162
pdam_00000308,0.141401178519772
pdam_00000309,-0.452432131513588
pdam_00000310,-0.169211041155496
pdam_00000311,0.0528951353305037
pdam_00000312,-1.48303903069584
pdam_00000313,1.42337882284929
pdam_00000315,2.33381027498821
pdam_00000316,4.39172127237107
pdam_00000317,2.46301108854088
pdam_00000318,1.40322212330755
pdam_00000319,0.456837709592786
pdam_00000320,-3.45869578843744
pdam_00000321,-0.272275631703357
pdam_00000322,-0.762941388987492
pdam_00000323,4.88085731986078
pdam_00000324,1.77253554206243
pdam_00000325,0.337671953435805
pdam_00000326,0.00459959651957854
pdam_00000327,-0.508886998226956
pdam_00000328,NA
pdam_00000329,NA
pdam_00000330,1.2045842907598
pdam_00000331,0.638498170314115
pdam_00000332,0.998057716959858
pdam_00000333,6.57188250608289
pdam_00000334,-1.18761847173776
pdam_00000335,-0.14046978995449
pdam_00000336,0.935016635217238
pdam_00000337,-4.47422973805625
pdam_00000338,-1.71672025189952
pdam_00000339,-0.795964172298526
pdam_00000340,-1.60847990228413
pdam_00000341,-9.06493475687497
pdam_00000342,4.7075333860049
pdam_00000343,-0.690045248237178
pdam_00000344,1.78956203591886
pdam_00000345,3.61877612514161
pdam_00000346,1.48344635957244
pdam_00000347,1.93807216873258
pdam_00000348,1.76409403616441
pdam_00000349,1.29333857926287
pdam_00000351,11.5802798946752
pdam_00000352,-0.21925238473524
pdam_00000353,8.00242456653348
pdam_00000355,-0.260135415512066
pdam_00000356,0.446167049784837
pdam_00000357,2.11480452604622
pdam_00000358,0.427206154018442
pdam_00000359,-2.48479404483865
pdam_00000360,7.6361621855447
pdam_00000361,1.84761056410875
pdam_00000362,-0.0763251143853605
pdam_00000363,-0.675090817936899
pdam_00000365,-2.29111095285039
pdam_00000366,1.54890823900989
pdam_00000367,-0.509046271373208
pdam_00000368,-0.117917860921551
pdam_00000369,5.20372043892135
pdam_00000370,5.56704895577649
pdam_00000371,-1.24182758101239
pdam_00000372,8.2523177298479
pdam_00000373,2.96357514498234
pdam_00000375,0.998574572896897
pdam_00000376,-5.2655656210435
pdam_00000377,-1.07914763188462
pdam_00000378,0.163746715169218
pdam_00000379,-1.44247795911049
pdam_00000380,-3.08855704875369
pdam_00000381,0.0458894975023152
pdam_00000382,0.296878547825027
pdam_00000383,2.4489289978457
pdam_00000384,0.864926798321087
pdam_00000385,0.73962297933267
pdam_00000386,-2.22349879725933
pdam_00000387,-3.09876548958942
