gene,logP
pdam_00000079,-2.66892709201825
pdam_00000080,-0.292418308797924
pdam_00000081,0.334775855490037
pdam_00000082,-0.431479186629628
pdam_00000083,-2.12775239173684
pdam_00000084,0.241330887843155
pdam_00000085,0.458781114539874
pdam_00000086,-0.846753502002047
pdam_00000087,-4.75980212867187
pdam_00000088,-2.40481932213219
pdam_00000089,-0.0517474227446537
pdam_00000090,-1.18000170974472
pdam_00000091,-1.67535740138264
pdam_00000092,-1.30660702152059
pdam_00000093,-0.538758238761428
pdam_00000094,-0.761845721083157
pdam_00000095,0.175090610501929
pdam_00000096,0.00986465581758078
pdam_00000097,2.11956754347761
pdam_00000098,0.525224841028215
pdam_00000099,1.99659904458927
pdam_00000102,-0.102124039208258
pdam_00000104,0.0843544866915888
pdam_00000105,-0.373637555112524
pdam_00000106,0.176402934522978
pdam_00000107,1.35740514599772
pdam_00000108,-0.078284210411761
pdam_00000109,0.659419489474865
pdam_00000110,0.0487034690134256
pdam_00000112,0.495004968064582
pdam_00000114,0.523316553055015
pdam_00000115,0.282920052767973
pdam_00000116,-0.949023855436094
pdam_00000117,1.09816133992165
pdam_00000118,0.352011684552301
pdam_00000120,-0.0545843790268946
pdam_00000122,-2.31347198842949
pdam_00000123,0.338264038010381
pdam_00000125,-0.373584492768038
pdam_00000126,0.220090513405148
pdam_00000127,0.399105414533691
pdam_00000130,-0.0134420184345344
pdam_00000131,-0.0801446978015441
pdam_00000132,0.852392596066127
pdam_00000133,0.202481762184656
pdam_00000135,0.380175259632371
pdam_00000136,-0.544607405598327
pdam_00000137,-0.359377480167004
pdam_00000138,-2.08161262258958
pdam_00000140,-3.83759472846751
pdam_00000141,-0.598391523878249
pdam_00000142,-3.06277095142779
pdam_00000143,-7.880777150016
pdam_00000144,-2.39775773536391
pdam_00000145,-7.75340353065766
pdam_00000146,-4.52441800193484
pdam_00000147,-0.10898896485208
pdam_00000149,-0.0717972003242013
pdam_00000150,-2.72712475945553
pdam_00000151,-1.58548767075812
pdam_00000152,-1.43598130004318
pdam_00000153,-1.05052892438605
pdam_00000154,-0.118280737628758
pdam_00000155,-0.447138793598139
pdam_00000156,1.71894524084511
pdam_00000157,-1.08434624743342
pdam_00000158,0.679460971434794
