gene,logP
pdam_00000320,-0.847228619063395
pdam_00000321,-0.132209245801151
pdam_00000322,-0.0239291098237029
pdam_00000323,0.678782336012087
pdam_00000324,0.867056799482769
pdam_00000325,0.794080102696918
pdam_00000326,-0.187581117728252
pdam_00000327,-0.49705582849746
pdam_00000328,NA
pdam_00000329,NA
pdam_00000330,0.0228183107627367
pdam_00000331,1.08848187179381
pdam_00000332,0.360469788080844
pdam_00000333,4.53808831229514
pdam_00000334,0.302344955437761
pdam_00000335,-0.526364886033291
pdam_00000336,-0.045879308482192
pdam_00000337,-1.44354654765847
pdam_00000338,-0.363507244746569
pdam_00000339,-0.48336833496146
pdam_00000340,-0.381226808509776
pdam_00000341,-2.01422852934801
pdam_00000342,1.5440458293308
pdam_00000343,-0.949577289315054
pdam_00000344,-0.976185989297381
pdam_00000345,-0.710345778362905
pdam_00000346,1.81787418908553
pdam_00000347,0.445684119490254
pdam_00000348,0.482337995483544
pdam_00000349,0.595876146353672
pdam_00000351,5.60090013160734
pdam_00000352,-0.905112109688113
pdam_00000353,5.3735871870898
pdam_00000355,-0.0301167210872281
pdam_00000356,0.697848421501378
pdam_00000357,1.16127215367191
pdam_00000358,0.436414598227389
pdam_00000359,-0.6096336605849
pdam_00000360,0.827229058594055
pdam_00000361,1.4581797576709
pdam_00000362,0.197500869660592
pdam_00000363,-0.460143218187382
pdam_00000365,-0.585952338890093
pdam_00000366,1.24144025010461
pdam_00000367,0.0880371070308846
pdam_00000368,-0.174620003047661
pdam_00000369,1.0864068587361
pdam_00000370,0.31398732852809
pdam_00000371,-0.0873302766497231
pdam_00000372,3.91927429689512
pdam_00000373,0.0446795131358383
pdam_00000375,-0.0919398658969557
pdam_00000376,-2.94362003678961
pdam_00000377,-1.74022179179417
pdam_00000378,-0.215132032083779
pdam_00000379,-0.622996883987905
pdam_00000380,-1.37271894796213
pdam_00000381,0.117676059967058
pdam_00000382,0.919199405725943
pdam_00000383,2.45945323445881
pdam_00000384,-0.151831290764023
pdam_00000385,0.690856166780589
pdam_00000386,-0.0912253082851603
pdam_00000387,-1.75398916544909
pdam_00000390,-0.252312537785462
pdam_00000391,1.02051394867586
pdam_00000392,-0.778800649144938
pdam_00000393,0.203993020921701
pdam_00000394,0.153376863646721
pdam_00000395,0.146856300370566
pdam_00000396,0.249877307701238
pdam_00000397,0.070317507930899
pdam_00000398,-0.691957650480073
pdam_00000399,0.470060947683749
pdam_00000401,0.835793986305121
pdam_00000403,0.00258821693050378
pdam_00000404,-0.275258829813617
pdam_00000405,-1.09592007377798
pdam_00000406,0.0824234298621717
pdam_00000407,1.68128031973729
pdam_00000408,0.716931005617145
pdam_00000409,-0.439864157425722
pdam_00000410,0.706951909035815
pdam_00000411,0.0504561435481374
pdam_00000412,-0.124600489221213
