"","baseMean","log2FoldChange","pvalue","padj"
"SymbC1.scaffold6505.1",0.426385759521836,1.30567776569142,0.271067265283666,NA
"SymbC1.scaffold4672.1",2.06494650345195,1.30253861517293,0.0254669435920532,NA
"SymbC1.scaffold2727.7",0.448720639582251,1.3013151576976,0.265951770287465,NA
"SymbC1.scaffold2377.8",1.32082313048896,1.29612476818445,0.0792129784527294,NA
"SymbC1.scaffold1415.8",0.897459903669204,1.29528727817567,0.128307467052962,NA
"SymbC1.scaffold3072.2",1.10411198172602,1.2884710858444,0.0985723587403798,NA
"SymbC1.scaffold8039.3",1.4944582542535,1.28788477804897,0.0459585680546554,NA
"SymbC1.scaffold9942.1",2.13372084768606,1.28629473680847,0.024055625271999,NA
"SymbC1.scaffold1277.3",1.29443788323995,1.28605889097542,0.0655649089453156,NA
"SymbC1.scaffold252.20",2.39754101870773,1.27452144271875,0.0146731324121349,NA
"SymbC1.scaffold64.2",0.699763639361922,1.26905650757516,0.177460663285545,NA
"SymbC1.scaffold3451.1",1.17722128734471,1.26745231885679,0.0953541223924739,NA
"SymbC1.scaffold10453.2",1.37495005792075,1.2669708166452,0.0770589338443514,NA
"SymbC1.scaffold90.4",1.63682475399465,1.26446240324945,0.0377397886464979,NA
"SymbC1.scaffold8316.2",0.90890280750701,1.26197821581395,0.12334761812396,NA
"SymbC1.scaffold4598.3",1.17392545557944,1.26020880206791,0.102175713285765,NA
"SymbC1.scaffold4524.2",4.68100206437463,1.25959364659451,0.00130296719673486,NA
"SymbC1.scaffold1571.13",1.56609323161561,1.25433922532339,0.0712408564964829,NA
"SymbC1.scaffold195.4",0.649582933760876,1.25001993536419,0.224933612401084,NA
"SymbC1.scaffold7541.2",3.3260105449329,1.24529123452953,0.00502700414085744,NA
"SymbC1.scaffold2273.2",1.05043355726024,1.24482824513715,0.130003270030948,NA
"SymbC1.scaffold8612.1",1.31522728864213,1.24347525860769,0.0940542120751507,NA
"SymbC1.scaffold7589.3",0.596346651638146,1.24100265418212,0.220435852972769,NA
"SymbC1.scaffold334.4",3.04242190158163,1.23651042625867,0.0088515531590769,NA
"SymbC1.scaffold195.2",1.28271288927293,1.23475148525988,0.0981475193327812,NA
"SymbC1.scaffold9398.2",2.80171451269476,1.23032471491922,0.0289624009161807,NA
"SymbC1.scaffold5826.5",0.934369716205762,1.22405578303047,0.135526647344829,NA
"SymbC1.scaffold1027.9",5.37295981200536,1.22174125117228,0.0011528544561687,NA
