Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
AGL188W,25,28,25,26,13,12,10,6,15,11,6,31
aglC,19,5,8,10,11,6,1,2,9,4,7,17
aglC,0,0,0,0,0,0,14,16,49,8,19,29
ags1,1,2,1,3,7,7,0,1,7,1,1,6
AIDA,38,27,21,40,19,38,29,22,80,29,57,86
aidB,3,2,2,5,4,3,7,2,11,11,14,17
aifA,118,82,65,164,87,105,61,56,143,43,46,109
aifB,54,32,26,34,41,30,27,33,74,24,13,22
aifB,70,69,63,132,83,81,76,90,182,89,61,187
aifB,53,28,30,49,39,36,17,37,83,23,11,40
AIP1,146,102,105,191,152,107,168,181,435,165,249,494
AIP1-1,90,57,36,259,160,123,82,108,280,105,109,244
ak1,4,4,1,7,5,3,38,32,105,6,6,22
ak1,71,42,44,109,68,36,68,50,183,38,30,106
ak1,69,45,45,125,61,47,43,46,151,57,75,141
AK1,71,54,62,170,96,87,41,40,88,35,25,76
AK7,61,31,47,112,90,53,42,30,98,35,32,66
Ak7,65,41,57,71,41,39,15,20,51,20,10,31
AK7,356,217,174,398,249,254,143,157,448,158,202,474
AK812_SmicGene10896,10,8,5,14,14,9,1,1,4,3,4,10
AK812_SmicGene10896,28,22,13,40,36,33,7,3,7,6,10,18
AK812_SmicGene11672,42,31,24,43,29,22,30,36,68,36,4,28
AK812_SmicGene12293,40,36,25,42,31,24,30,45,123,41,60,113
AK812_SmicGene12873,9,27,16,16,14,6,9,9,17,28,6,50
AK812_SmicGene13287,3,2,0,4,1,1,0,2,5,2,1,8
AK812_SmicGene13287,2,5,1,7,7,6,5,6,27,8,2,13
AK812_SmicGene1336,107,74,50,120,117,87,89,79,238,99,106,260
AK812_SmicGene1336,27,17,21,32,19,16,41,27,68,31,39,74
AK812_SmicGene13469,75,57,46,68,44,39,28,18,63,29,26,58
AK812_SmicGene13780,3,2,0,3,5,1,5,5,7,4,7,13
AK812_SmicGene13884,8,4,1,107,55,52,29,33,77,34,41,87
AK812_SmicGene13956,142,115,87,185,138,115,63,75,197,74,83,212
AK812_SmicGene14054,6,2,2,6,3,4,4,4,9,7,4,10
AK812_SmicGene14180,19,24,17,25,13,8,5,2,15,3,6,13
AK812_SmicGene14482,81,62,76,113,83,66,39,43,97,33,29,75
AK812_SmicGene14486,32,13,16,28,23,16,28,31,76,28,18,57
AK812_SmicGene14513,144,96,56,127,121,104,87,65,176,86,47,156
AK812_SmicGene14513,33,22,13,32,26,30,23,20,60,22,28,57
AK812_SmicGene14667,12,8,3,12,16,6,7,8,20,9,17,22
AK812_SmicGene1499,0,0,0,0,0,1,20,22,67,37,32,89
AK812_SmicGene1499,1,1,0,0,0,0,14,10,27,17,21,42
AK812_SmicGene15117,41,29,19,55,23,29,14,20,56,19,20,54
AK812_SmicGene15320,50,34,12,69,43,40,35,28,77,40,51,117
AK812_SmicGene15535,13,12,7,10,16,10,4,2,20,10,5,16
AK812_SmicGene15563,6,2,1,0,2,3,3,3,5,3,5,14
AK812_SmicGene16729,80,55,62,90,57,54,28,30,74,36,31,101
AK812_SmicGene16768,1,3,1,1,2,0,3,4,4,1,3,2
AK812_SmicGene16779,16,10,15,19,15,20,27,37,76,33,31,104
AK812_SmicGene17551,35,35,25,79,47,43,30,34,73,24,48,110
AK812_SmicGene177,48,24,20,58,39,52,34,25,70,46,33,103
AK812_SmicGene18193,5,7,10,9,7,11,3,4,18,1,0,1
AK812_SmicGene18235,0,0,1,1,0,0,6,4,14,13,6,15
AK812_SmicGene18235,7,3,4,10,11,4,17,15,43,25,25,41
AK812_SmicGene18235,1,4,2,5,5,2,3,5,17,6,2,13
AK812_SmicGene18235,2,1,0,0,2,0,6,2,5,10,9,8
AK812_SmicGene18281,3,1,1,1,2,5,0,1,0,0,0,1
AK812_SmicGene18284,82,61,66,108,62,66,64,72,154,81,53,180
AK812_SmicGene18302,6,5,2,9,2,7,4,3,6,2,1,4
AK812_SmicGene18302,40,25,19,32,16,17,17,19,39,16,18,35
AK812_SmicGene18464,10,10,7,49,25,25,17,8,31,14,4,27
AK812_SmicGene18503,16,17,9,25,19,20,14,9,52,24,19,31
AK812_SmicGene18945,73,53,41,143,109,103,51,59,141,69,58,171
AK812_SmicGene19008,3,5,8,5,8,4,2,3,6,1,0,3
AK812_SmicGene19111,64,40,24,67,44,39,28,33,64,19,20,38
AK812_SmicGene1967,4,5,5,10,4,6,3,7,8,3,3,3
AK812_SmicGene19840,10,6,5,15,4,7,4,2,10,5,1,10
AK812_SmicGene19840,45,33,27,61,33,39,18,17,44,14,20,42
AK812_SmicGene20119,1,2,3,12,1,4,12,14,29,5,6,13
AK812_SmicGene20119,18,16,9,17,20,17,13,14,33,27,19,38
AK812_SmicGene20146,4,1,2,4,5,3,15,11,31,18,22,33
AK812_SmicGene20295,10,8,5,13,13,10,0,1,0,0,0,0
AK812_SmicGene20295,3,4,2,7,12,1,0,0,0,0,0,1
AK812_SmicGene2049,47,32,20,70,42,36,25,18,77,20,18,54
AK812_SmicGene20544,74,66,49,126,80,61,50,64,198,80,109,197
AK812_SmicGene20806,18,19,6,35,16,17,15,8,29,7,3,12
AK812_SmicGene20960,221,175,133,248,174,163,115,113,277,109,128,248
AK812_SmicGene20981,20,16,11,20,18,11,9,13,16,8,2,15
AK812_SmicGene21003,3,3,1,3,6,7,8,8,28,12,15,24
AK812_SmicGene21062,26,17,13,27,30,21,9,9,26,12,17,27
AK812_SmicGene21080,8,7,4,21,15,8,4,6,21,11,8,22
AK812_SmicGene21211,22,14,6,11,12,9,18,21,51,19,20,48
AK812_SmicGene21627,12,14,12,12,10,6,25,19,64,17,17,46
AK812_SmicGene21627,616,450,441,1029,714,605,352,317,852,376,553,990
AK812_SmicGene21937,19,17,6,7,13,6,6,2,6,3,4,9
AK812_SmicGene22034,54,38,23,40,32,31,20,31,60,27,39,90
AK812_SmicGene22262,5,4,2,4,8,1,14,22,45,29,25,52
AK812_SmicGene22269,6,8,0,5,8,2,0,0,0,0,0,0
AK812_SmicGene22306,58,50,30,64,54,39,32,23,82,22,27,60
AK812_SmicGene22430,40,20,26,38,33,31,10,21,44,21,10,35
AK812_SmicGene22656,112,84,67,133,117,87,110,84,283,115,116,279
AK812_SmicGene23207,6,6,8,9,9,3,1,2,1,1,3,5
AK812_SmicGene23574,60,43,39,52,56,39,24,29,79,44,61,110
AK812_SmicGene23595,0,1,0,1,0,0,1,0,2,3,0,3
AK812_SmicGene24054,5,1,1,6,3,1,30,31,53,17,12,30
AK812_SmicGene24054,4,6,1,13,11,10,18,13,55,25,10,21
AK812_SmicGene2419,67,46,35,108,79,58,50,56,136,40,86,175
AK812_SmicGene24289,96,67,56,142,105,73,52,69,159,85,86,200
AK812_SmicGene24289,152,116,83,174,108,96,85,61,200,69,98,245
AK812_SmicGene24373,128,108,57,176,134,128,59,57,171,57,54,126
AK812_SmicGene24476,33,28,24,50,30,30,18,18,55,17,13,33
AK812_SmicGene24524,14,3,2,10,9,7,5,5,17,12,10,20
AK812_SmicGene24564,0,0,0,0,0,0,8,5,16,0,0,0
AK812_SmicGene24679,2,1,0,5,0,2,0,0,0,0,0,0
AK812_SmicGene24741,5,3,2,7,4,6,3,4,3,5,3,3
AK812_SmicGene25061,41,31,19,22,26,15,11,12,33,11,17,23
