Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
AK812_SmicGene13287,2,0,4,1,1,1,3,5,1,1,1,0
AK812_SmicGene1336,69,65,65,104,47,50,61,99,63,132,33,38
AK812_SmicGene1336,5,8,15,11,14,4,14,33,19,30,7,12
AK812_SmicGene13469,21,43,55,58,27,21,24,33,10,36,7,18
AK812_SmicGene13780,1,0,1,2,1,0,2,6,0,4,2,6
AK812_SmicGene13884,3,2,7,39,35,8,4,33,17,53,1,17
AK812_SmicGene13956,106,132,129,168,98,73,42,81,38,119,27,52
AK812_SmicGene14054,0,1,2,1,2,1,2,3,2,7,0,3
AK812_SmicGene14180,15,21,13,19,7,10,2,13,2,18,2,0
AK812_SmicGene14482,59,60,60,62,33,21,28,35,21,55,14,15
AK812_SmicGene14486,18,19,18,36,25,10,12,36,21,30,6,17
AK812_SmicGene14513,47,64,94,76,36,20,28,43,23,57,17,19
AK812_SmicGene14513,4,10,19,16,18,6,6,17,3,21,8,6
AK812_SmicGene14667,12,10,7,18,11,13,4,10,6,18,4,8
AK812_SmicGene1499,0,0,0,0,0,0,8,27,14,13,8,15
AK812_SmicGene1499,0,0,1,0,0,0,5,10,6,6,1,6
AK812_SmicGene15117,20,26,30,35,11,12,9,14,22,35,2,3
AK812_SmicGene15320,10,23,32,52,28,14,21,38,22,83,9,18
AK812_SmicGene15535,7,15,23,22,14,9,4,8,4,13,1,6
AK812_SmicGene15563,0,1,0,3,3,2,1,6,2,1,1,5
AK812_SmicGene16729,76,77,58,72,42,37,32,51,26,80,13,17
AK812_SmicGene16768,0,0,0,0,0,0,0,3,1,4,1,5
AK812_SmicGene16779,6,6,6,17,4,2,10,41,14,11,9,19
AK812_SmicGene17551,17,19,27,28,24,17,28,36,23,67,16,21
AK812_SmicGene177,12,27,29,55,25,22,18,23,23,53,12,15
AK812_SmicGene18193,9,9,7,12,9,3,1,8,3,7,2,1
AK812_SmicGene18235,0,1,1,0,1,0,3,12,1,7,0,4
AK812_SmicGene18235,1,6,6,6,3,5,12,16,11,12,11,4
AK812_SmicGene18235,2,2,3,5,1,1,6,6,3,1,1,4
AK812_SmicGene18235,1,2,2,0,0,2,2,2,1,4,1,0
AK812_SmicGene18281,3,1,5,2,4,3,0,1,0,6,0,0
AK812_SmicGene18284,56,45,62,43,25,15,46,100,64,99,33,42
AK812_SmicGene18302,3,4,9,5,1,1,3,3,0,1,0,1
AK812_SmicGene18302,28,13,20,15,12,9,8,11,10,17,1,9
AK812_SmicGene18464,2,5,7,32,11,9,8,20,8,15,4,1
AK812_SmicGene18503,10,11,11,16,7,8,12,19,12,22,2,4
AK812_SmicGene18945,31,40,48,90,44,34,20,65,25,91,19,24
AK812_SmicGene19008,2,7,5,2,3,2,1,1,0,1,0,1
AK812_SmicGene19111,34,56,30,44,14,11,12,25,9,39,3,8
AK812_SmicGene1967,4,2,4,5,1,1,1,0,1,1,0,0
AK812_SmicGene19840,1,11,10,11,3,0,0,2,3,2,1,0
AK812_SmicGene19840,8,24,21,19,15,10,2,10,4,23,3,7
AK812_SmicGene20119,5,5,6,2,1,2,3,8,7,1,0,8
AK812_SmicGene20119,16,12,19,15,12,7,12,23,2,15,5,10
AK812_SmicGene20146,1,0,3,3,4,0,9,15,6,7,6,4
AK812_SmicGene20295,1,3,3,7,0,0,0,0,0,1,0,0
AK812_SmicGene20295,0,1,2,3,5,2,0,0,0,6,0,0
AK812_SmicGene2049,23,25,38,38,21,29,14,27,15,36,10,7
AK812_SmicGene20544,50,41,74,78,44,33,51,104,47,103,40,39
AK812_SmicGene20806,11,24,18,29,9,5,5,9,5,5,0,1
AK812_SmicGene20960,100,124,143,163,104,53,59,116,51,180,31,45
AK812_SmicGene20981,12,10,13,17,15,10,4,10,4,7,0,0
AK812_SmicGene21003,1,1,4,3,6,3,4,13,6,15,3,6
AK812_SmicGene21062,13,22,17,13,6,12,5,16,7,31,3,6
AK812_SmicGene21080,1,3,4,14,8,8,3,11,6,16,3,5
AK812_SmicGene21211,9,11,13,9,2,8,22,24,11,14,6,14
AK812_SmicGene21627,22,14,15,13,7,12,15,33,18,39,9,16
AK812_SmicGene21627,254,335,443,608,315,350,162,483,200,792,152,179
AK812_SmicGene21937,10,2,5,9,2,4,1,6,3,13,0,1
AK812_SmicGene22034,24,35,47,34,16,16,29,27,25,47,6,12
AK812_SmicGene22262,0,1,4,4,3,1,10,21,12,11,7,12
AK812_SmicGene22269,3,5,2,11,2,2,0,0,0,5,0,0
AK812_SmicGene22306,23,33,44,40,17,13,15,30,18,41,7,5
AK812_SmicGene22430,18,26,26,29,7,10,14,15,6,21,2,9
AK812_SmicGene22656,33,52,66,86,42,37,48,111,47,107,29,52
AK812_SmicGene23207,11,5,5,4,5,6,1,2,1,12,0,1
AK812_SmicGene23574,10,28,36,29,7,20,21,51,12,65,4,16
AK812_SmicGene23595,1,0,0,0,0,0,1,2,1,2,0,1
