Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold5152.1,19.61654974,2.747855741,0.232811534,11.80291925,3.77e-32,5.27e-30,TRUE
SymbC1.scaffold5152.2,49.11009776,0.337049425,0.125674483,2.681924101,0.007320007,0.021731793,TRUE
SymbC1.scaffold5152.3,29.30625689,0.526569403,0.175167085,3.006097878,0.002646238,0.009026771,TRUE
SymbC1.scaffold5153.4,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5154.1,64.19325327,-0.285249485,0.097734686,-2.918610561,0.003515952,0.011557189,TRUE
SymbC1.scaffold5154.2,31.48843404,-0.255191295,0.154355654,-1.653268208,0.09827629,0.186094771,FALSE
SymbC1.scaffold5154.3,1.221531207,-0.295426548,0.542353536,-0.544712127,0.585951523,0.708676607,FALSE
SymbC1.scaffold5154.4,87.33071098,-0.386631279,0.101500646,-3.809150926,1.39e-4,6.82e-4,TRUE
SymbC1.scaffold5154.5,60.70988141,-0.676172147,0.096532872,-7.004579166,2.48e-12,4.85e-11,TRUE
SymbC1.scaffold5154.6,91.34900966,-0.074811546,0.095476536,-0.783559494,0.433298631,0.573104874,FALSE
SymbC1.scaffold5155.2,10.07005194,-0.198295299,0.253270846,-0.782937723,0.433663684,0.57349017,FALSE
SymbC1.scaffold5155.3,146.8564528,-0.131153799,0.116977059,-1.121192483,0.262205939,0.397750332,FALSE
SymbC1.scaffold5155.4,9.120905543,0.485931514,0.221910106,2.189767391,0.028541111,0.068374982,FALSE
SymbC1.scaffold5155.5,39.68063991,-0.804269774,0.182587853,-4.404837228,1.06e-5,6.73e-5,TRUE
SymbC1.scaffold5156.2,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.3,0.018399443,0.734958649,4.122633513,0.178274068,0.858507743,NA,NA
SymbC1.scaffold5156.6,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.10,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.11,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.12,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.15,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.16,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.21,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5156.24,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5158.1,98.68033997,0.078515488,0.079190803,0.991472307,0.321455008,0.462144814,FALSE
SymbC1.scaffold5158.2,54.77131199,-0.331685888,0.115121725,-2.881175449,0.00396195,0.012814133,TRUE
SymbC1.scaffold5158.3,21.11393742,0.098566413,0.209392174,0.470726343,0.63783617,0.752849988,FALSE
SymbC1.scaffold5158.4,15.43280262,-0.379415765,0.195602271,-1.939730878,0.052412405,0.112465875,FALSE
SymbC1.scaffold516.1,8.798445759,0.245558277,0.234862304,1.045541461,0.295772789,0.434705688,FALSE
SymbC1.scaffold516.2,1.13987858,-0.377381681,0.610882226,-0.617765038,0.536730233,0.666764055,FALSE
SymbC1.scaffold516.3,29.81749506,0.464387754,0.16607496,2.796253892,0.005169877,0.016076787,TRUE
SymbC1.scaffold516.4,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold516.5,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5160.1,29.76396404,-0.18533281,0.151232507,-1.225482624,0.220393433,0.348320466,FALSE
SymbC1.scaffold5160.2,125.1152957,-0.163916774,0.090091975,-1.819438128,0.068844614,0.139949889,FALSE
SymbC1.scaffold5161.1,0.628080643,-0.441664792,0.785350193,-0.562379428,0.573857532,0.698651929,FALSE
SymbC1.scaffold5162.3,1.603880502,-0.33507926,0.580859696,-0.576867809,0.564028758,0.690575569,FALSE
SymbC1.scaffold5163.1,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5163.2,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5163.3,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5164.3,2.53592267,-0.132473119,0.389128481,-0.340435424,0.733528645,0.825164497,FALSE
SymbC1.scaffold5164.4,134.546721,0.077391105,0.072894093,1.061692403,0.288375349,0.426709915,FALSE
SymbC1.scaffold5165.1,5.640986699,-0.107077406,0.284832375,-0.375931302,0.706967969,0.805699974,FALSE
SymbC1.scaffold5166.1,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5166.4,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5166.5,13.55548637,-0.429139239,0.220416045,-1.946951,0.051540609,0.11107537,FALSE
SymbC1.scaffold5167.1,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5167.2,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5167.3,1.016330344,-0.808589921,0.665714814,-1.214619089,0.224511405,0.353289439,FALSE
