Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold1.440,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.441,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.442,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.443,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.444,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.449,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.451,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.456,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.457,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.460,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.463,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.466,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.467,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.471,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.473,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.475,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.480,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.482,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.483,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.485,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.489,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.497,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.498,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.502,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.507,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.516,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.517,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.518,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.523,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.528,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.529,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.531,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.535,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.540,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.543,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.546,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.549,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.552,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.554,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.559,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.560,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.564,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.566,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.568,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.571,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.572,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.575,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.578,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.579,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.580,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.585,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.589,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.591,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.592,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.594,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.596,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.598,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.603,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.606,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.607,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.608,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.609,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.610,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.612,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.613,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.616,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.620,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.630,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.632,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.633,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.634,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.637,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.642,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.649,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.650,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.652,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.653,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.654,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.656,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.663,1.131528569,-0.215582025,0.675205881,-0.319283393,0.749511625,0.836383016
SymbC1.scaffold1.664,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.669,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.670,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.671,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.672,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.673,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.674,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.678,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.679,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.681,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.687,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.688,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.689,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.690,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.691,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.693,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.696,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.700,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.702,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.706,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.707,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.708,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.709,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.710,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.715,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.716,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.717,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.722,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.723,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.724,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.727,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.728,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.731,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.732,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.733,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.734,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.739,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.740,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.742,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.745,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.746,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.748,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.751,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.762,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.763,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.764,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.765,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.766,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.772,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.774,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.777,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.784,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.789,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.790,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.793,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.798,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.799,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.800,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.801,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.804,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.805,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.809,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.817,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.822,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.825,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.830,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.832,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.833,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.839,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.840,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.841,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.842,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.845,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.853,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.857,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.863,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.864,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.865,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.866,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.870,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.871,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.872,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.873,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.876,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.880,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.883,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.884,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.886,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.888,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.892,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.902,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.903,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.904,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.905,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.907,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.908,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.909,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.910,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.911,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.913,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.914,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.918,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.922,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.924,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.927,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.928,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.929,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.931,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.934,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.936,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.937,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.938,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.947,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.948,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.950,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.956,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.957,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.960,0.114204279,1.82750454,2.587941997,0.706161322,0.480087821,NA
SymbC1.scaffold1.962,0,NA,NA,NA,NA,NA
