Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold110.7,5.824455502,6.06914485,0.657435065,9.231550261,2.67E-20,1.33E-18,TRUE
SymbC1.scaffold1100.3,64.06371328,0.386662603,0.118375317,3.266412407,0.001089195,0.004160771,TRUE
SymbC1.scaffold1100.4,160.0730535,0.740111414,0.085652467,8.640865164,5.58E-18,2.12E-16,TRUE
SymbC1.scaffold1100.5,3.207242609,1.925641434,0.448313232,4.295303588,1.74E-05,1.06E-04,TRUE
SymbC1.scaffold11000.1,1.527798758,-3.073408941,0.640952941,-4.795061763,1.63E-06,1.22E-05,TRUE
SymbC1.scaffold11004.1,11.61799735,5.007172511,0.536984222,9.32461757,1.11E-20,5.79E-19,TRUE
SymbC1.scaffold1101.5,21.62410405,1.283338709,0.194913034,6.584160539,4.57E-11,7.49E-10,TRUE
SymbC1.scaffold1101.9,71.71834619,-0.550068775,0.116849979,-4.707478597,2.51E-06,1.82E-05,TRUE
SymbC1.scaffold1101.16,35.09053404,0.283772187,0.118132511,2.402151492,0.016298957,0.042906609,TRUE
SymbC1.scaffold11019.1,7.280235251,0.877406298,0.292158156,3.003189473,0.00267166,0.009105503,TRUE
SymbC1.scaffold1102.1,143.6678426,0.831119148,0.07832825,10.61072029,2.66E-26,2.34E-24,TRUE
SymbC1.scaffold1103.1,14.95704729,2.449082149,0.234222049,10.45624083,1.37E-25,1.17E-23,TRUE
SymbC1.scaffold11036.2,2.436804914,1.474093226,0.491833384,2.997139428,0.00272526,0.009269223,TRUE
SymbC1.scaffold11040.1,5.114818224,-0.890084358,0.330430067,-2.693714786,0.00706606,0.021028718,TRUE
SymbC1.scaffold11044.1,20.76881017,0.757659305,0.26591211,2.849284698,0.004381765,0.013966689,TRUE
SymbC1.scaffold11049.1,72.60005259,0.374995975,0.086958641,4.312348594,1.62E-05,9.86E-05,TRUE
SymbC1.scaffold11049.2,24.58317586,-0.374984664,0.157633939,-2.378832036,0.017367588,0.045191255,TRUE
SymbC1.scaffold1105.2,9.033093586,1.132262197,0.256903695,4.40734103,1.05E-05,6.67E-05,TRUE
SymbC1.scaffold11052.1,3.747767038,-1.211338188,0.388667887,-3.116640782,0.001829243,0.006564285,TRUE
SymbC1.scaffold11067.1,108.4432286,0.680417975,0.154034259,4.417315851,9.99E-06,6.39E-05,TRUE
SymbC1.scaffold11069.2,68.15025551,-0.5683595,0.138629474,-4.099846037,4.13E-05,2.30E-04,TRUE
SymbC1.scaffold11069.4,22.77127665,-0.655848151,0.15177248,-4.321258708,1.55E-05,9.51E-05,TRUE
SymbC1.scaffold11069.5,7.058694836,0.920448172,0.273451954,3.366032531,7.63E-04,0.003056204,TRUE
SymbC1.scaffold11071.1,11.84010413,3.220472536,0.381474473,8.44217049,3.11E-17,1.12E-15,TRUE
SymbC1.scaffold11075.1,137.3837779,0.567106673,0.125248231,4.527861732,5.96E-06,4.02E-05,TRUE
SymbC1.scaffold1109.1,49.96250608,0.661177944,0.119650281,5.525920508,3.28E-08,3.41E-07,TRUE
SymbC1.scaffold1109.2,26.857555,1.478078413,0.183599803,8.050544675,8.24E-16,2.55E-14,TRUE
SymbC1.scaffold1109.4,4.986914791,1.054899982,0.342182184,3.082860631,0.002050211,0.007235913,TRUE
SymbC1.scaffold1109.6,69.5277253,-0.844539719,0.145233951,-5.815029558,6.06E-09,7.13E-08,TRUE
SymbC1.scaffold1109.10,61.75151287,-0.382815395,0.141659216,-2.702368443,0.006884742,0.020554862,TRUE
SymbC1.scaffold11098.1,27.58171353,-0.759426183,0.185530835,-4.093261286,4.25E-05,2.36E-04,TRUE
SymbC1.scaffold111.1,33.88377625,-0.521886462,0.186374325,-2.800205778,0.005107004,0.015910964,TRUE
SymbC1.scaffold111.4,54.8421524,-0.415889634,0.120222525,-3.459332058,5.42E-04,0.002267098,TRUE
SymbC1.scaffold111.5,42.66448509,0.404023407,0.107092751,3.772649429,1.62E-04,7.79E-04,TRUE
SymbC1.scaffold111.6,106.3311035,-0.687532606,0.093411862,-7.360228075,1.84E-13,4.21E-12,TRUE
SymbC1.scaffold11101.1,1007.947916,-1.144271356,0.174474745,-6.55837817,5.44E-11,8.82E-10,TRUE
SymbC1.scaffold11103.2,5.09844665,4.703379118,0.623567316,7.542696673,4.60E-14,1.15E-12,TRUE
SymbC1.scaffold1111.2,27.77441599,-0.605171683,0.14581893,-4.15015858,3.32E-05,1.89E-04,TRUE
SymbC1.scaffold1111.3,86.28504913,0.557090662,0.10350234,5.382396793,7.35E-08,7.22E-07,TRUE
SymbC1.scaffold1111.11,127.0259172,-0.449463032,0.163019515,-2.757111821,0.005831441,0.017832177,TRUE
SymbC1.scaffold11110.1,3.454674356,2.452482613,0.521473965,4.702981892,2.56E-06,1.85E-05,TRUE
SymbC1.scaffold11118.1,12.00883734,1.172580764,0.242924319,4.826938575,1.39E-06,1.06E-05,TRUE
SymbC1.scaffold11119.1,82.40539056,-0.600003083,0.127012597,-4.723965157,2.31E-06,1.69E-05,TRUE
SymbC1.scaffold1112.3,5.093796147,1.056496914,0.369505005,2.8592222,0.004246812,0.013603443,TRUE
SymbC1.scaffold11126.1,29.28443165,1.138337973,0.165748777,6.867851433,6.52E-12,1.20E-10,TRUE
SymbC1.scaffold1113.1,348.1252517,0.286198025,0.053307004,5.368863391,7.92E-08,7.74E-07,TRUE
SymbC1.scaffold1113.5,114.1716968,0.764131563,0.111768596,6.83672865,8.10E-12,1.48E-10,TRUE
SymbC1.scaffold1113.8,50.56118511,1.41189996,0.165648156,8.523487344,1.55E-17,5.71E-16,TRUE
SymbC1.scaffold1113.10,16.46416411,0.431618957,0.181070476,2.38370697,0.017139244,0.044734999,TRUE
SymbC1.scaffold11142.1,271.3588401,-0.671636556,0.126820223,-5.295973619,1.18E-07,1.11E-06,TRUE
SymbC1.scaffold1115.3,23.84045967,1.597652683,0.184468813,8.660828121,4.68E-18,1.79E-16,TRUE
SymbC1.scaffold1115.4,12.90143392,1.456003399,0.255366446,5.70162376,1.19E-08,1.32E-07,TRUE
SymbC1.scaffold11158.1,24.56269733,-0.894432061,0.184439182,-4.8494688,1.24E-06,9.62E-06,TRUE
SymbC1.scaffold1116.6,16.08446335,-0.443894116,0.174561293,-2.54291263,0.010993271,0.030791455,TRUE
SymbC1.scaffold1116.10,10.2809735,0.714039271,0.295160705,2.419154241,0.015556642,0.041264458,TRUE
SymbC1.scaffold11171.1,0.914454046,3.593377794,0.78703626,4.565708058,4.98E-06,3.42E-05,TRUE
SymbC1.scaffold11172.1,7.964745666,0.844260415,0.253020424,3.336728326,8.48E-04,0.00335019,TRUE
SymbC1.scaffold11172.2,2.889680844,1.172114198,0.386215561,3.034870458,0.00240639,0.00830331,TRUE
SymbC1.scaffold1118.1,40.74055104,0.513857803,0.15435753,3.329010274,8.72E-04,0.003433373,TRUE
SymbC1.scaffold11181.1,21.39988087,1.803855288,0.205869479,8.762130726,1.92E-18,7.72E-17,TRUE
SymbC1.scaffold1119.3,8.141279225,-1.008301801,0.273458462,-3.687221059,2.27E-04,0.001053179,TRUE
SymbC1.scaffold11194.1,33.81842024,-0.686386084,0.132268876,-5.189324234,2.11E-07,1.90E-06,TRUE
SymbC1.scaffold112.1,10.90785472,0.532915241,0.225572427,2.3625017,0.018152058,0.046885448,TRUE
SymbC1.scaffold112.3,31.25936821,-0.517448317,0.186410509,-2.775853784,0.005505696,0.016970764,TRUE
SymbC1.scaffold112.6,29.57081186,-0.893712989,0.185009103,-4.830643322,1.36E-06,1.04E-05,TRUE
SymbC1.scaffold1120.1,52.31402614,0.925435369,0.188092315,4.920112599,8.65E-07,6.95E-06,TRUE
SymbC1.scaffold11209.1,16.33603217,-0.508655834,0.179501244,-2.833717599,0.004600997,0.01457255,TRUE
SymbC1.scaffold1121.1,11.00017083,0.672013924,0.282159313,2.381682593,0.017233745,0.044926364,TRUE
SymbC1.scaffold1121.2,57.46148416,0.634766959,0.163314466,3.8867773,1.02E-04,5.14E-04,TRUE
SymbC1.scaffold1121.4,67.31148754,0.339744606,0.110468611,3.075485451,0.002101602,0.007386369,TRUE
SymbC1.scaffold11213.1,16.03342563,-0.638106881,0.178432226,-3.576186287,3.49E-04,0.001540183,TRUE
SymbC1.scaffold1122.1,8.577128735,-0.975882851,0.257708495,-3.786770209,1.53E-04,7.39E-04,TRUE
