baseMean,log2FoldChange,sig
170.9445355,-1.36422466,TRUE
8.945343862,-1.363626845,TRUE
10.260447,-1.360248396,TRUE
5.769532119,-1.357035392,TRUE
9.604912977,-1.356438722,TRUE
3.492052982,-1.353906832,TRUE
3.392139704,-1.353744242,TRUE
28.02353419,-1.352183503,TRUE
1.104545162,-1.351832545,FALSE
12.82661753,-1.350177905,TRUE
0.64096686,-1.349692392,FALSE
14.17611122,-1.347203939,TRUE
1.967962575,-1.345934721,TRUE
4.620132186,-1.345866467,TRUE
24.10544205,-1.345399014,TRUE
32.85405113,-1.345336441,TRUE
13.40260139,-1.344675862,TRUE
26.95677237,-1.344523541,TRUE
3.348552102,-1.344291929,TRUE
4.52881124,-1.342610067,TRUE
27.72675488,-1.342066685,TRUE
45.31198849,-1.340409454,TRUE
4.759852573,-1.334470646,TRUE
3.680199868,-1.334289657,TRUE
0.719242608,-1.334084128,FALSE
0.707467418,-1.334026998,FALSE
11.86708328,-1.333818898,TRUE
7.27358054,-1.329069816,TRUE
195.819799,-1.328998367,TRUE
8.069037606,-1.32889283,TRUE
9.328906263,-1.327514503,TRUE
266.3103263,-1.327016552,TRUE
35.89757873,-1.326065163,TRUE
20.59503821,-1.325955375,TRUE
69.08516963,-1.325427027,TRUE
2.089799572,-1.323887896,TRUE
19.12800665,-1.322694344,TRUE
2.189022345,-1.319669312,FALSE
9.355856405,-1.319273342,TRUE
31.84039534,-1.317768287,TRUE
1.620303222,-1.316132803,FALSE
2.279714681,-1.315701945,TRUE
6.201178782,-1.315366351,TRUE
18.19231854,-1.315057508,TRUE
5.125097968,-1.31344662,TRUE
1.320458933,-1.31267808,FALSE
0.452657915,-1.312139828,FALSE
3.99710963,-1.310578302,TRUE
0.654510554,-1.310181746,FALSE
12.34048429,-1.308116779,TRUE
36.99988537,-1.306774265,TRUE
1.196093654,-1.305232096,FALSE
1.222370034,-1.304157382,FALSE
0.919155457,-1.304109726,FALSE
28.90999016,-1.303871979,TRUE
5.269610334,-1.303476923,TRUE
1.714655196,-1.30230184,TRUE
30.3811467,-1.301778767,TRUE
8.22239771,-1.301358342,TRUE
9.646950237,-1.301258924,TRUE
14.48379761,-1.299996672,TRUE
106.5786019,-1.297771981,TRUE
0.719056304,-1.296972323,FALSE
0.967647784,-1.29605965,FALSE
29.62092206,-1.294646277,TRUE
15.86812573,-1.293536691,TRUE
7.654217057,-1.288520189,TRUE
19.05257108,-1.288214771,TRUE
1.592153974,-1.288001761,FALSE
5.714560998,-1.287783631,TRUE
4.812065489,-1.28621262,TRUE
45.78000944,-1.286099229,TRUE
10.80501164,-1.286033844,TRUE
2.439674448,-1.283117823,TRUE
22.52131286,-1.282569885,TRUE
41.14548902,-1.282562154,TRUE
6.675325545,-1.282255483,TRUE
18.00800344,-1.282004146,TRUE
23.43362129,-1.280420874,TRUE
2.378411692,-1.28006944,TRUE
0.234347628,-1.279682101,FALSE
17.08002125,-1.278140924,TRUE
87.68110472,-1.27610204,TRUE
129.2428446,-1.275090898,TRUE
0.793123288,-1.274613723,FALSE
6.361994795,-1.272685356,TRUE
24.12783345,-1.272456883,TRUE
15.99734969,-1.27080158,TRUE
115.5509421,-1.270733835,TRUE
1.410542932,-1.270062051,FALSE
10.95809377,-1.268284398,TRUE
7.270004384,-1.26793216,TRUE
4.208789961,-1.266078361,TRUE
55.03532288,-1.265228771,TRUE
23.60382996,-1.264922353,TRUE
0.479547419,-1.264737271,FALSE
0.679489239,-1.262791432,FALSE
32.25581921,-1.262577497,TRUE
16.24709329,-1.262376287,TRUE
5.069708086,-1.26226039,TRUE
21.18194876,-1.261669559,TRUE
9.74421679,-1.26066021,TRUE
3.152538001,-1.258922484,TRUE
187.9735385,-1.258910364,TRUE
58.39747437,-1.258140083,TRUE
4.418582532,-1.257629677,FALSE
1.265373091,-1.256803777,FALSE
10.8137143,-1.256801508,TRUE
2.489628031,-1.256642773,TRUE
63.62924151,-1.255781057,TRUE
12.83497145,-1.255707246,TRUE
30.17044466,-1.254691285,TRUE
12.22068806,-1.253673542,TRUE
16.87373132,-1.252784252,TRUE
3.399791108,-1.252597397,TRUE
24.61429991,-1.25188429,TRUE
16.97512403,-1.251564728,TRUE
1.900226932,-1.249944633,TRUE
32.78101954,-1.249441639,TRUE
413.5463202,-1.248476258,TRUE
0.287960264,-1.247857648,FALSE
2.406729441,-1.245819536,TRUE
15.14797206,-1.243106795,TRUE
8.984605509,-1.241478643,TRUE
2.651022077,-1.240937737,TRUE
7.755850952,-1.240542846,TRUE
1.901939707,-1.239876475,FALSE
27.31547963,-1.238173944,TRUE
12.72031596,-1.235840831,TRUE
21.53184827,-1.23579584,TRUE
71.5923281,-1.235729991,TRUE
29.29190569,-1.235362984,TRUE
0.99994396,-1.231345472,FALSE
22.65758832,-1.23116101,TRUE
42.77233525,-1.230588098,TRUE
12.50914499,-1.230550893,TRUE
7.593710839,-1.230356217,TRUE
9.024659351,-1.229746639,TRUE
125.7916316,-1.228734717,TRUE
83.38669097,-1.228528681,TRUE
22.47665079,-1.228329631,TRUE
123.7968616,-1.228265795,TRUE
6.234503774,-1.228171665,TRUE
1.240658085,-1.228035714,FALSE
26.5877792,-1.226909828,TRUE
3.936211409,-1.226210901,TRUE
60.14997049,-1.225822042,TRUE
9.275969237,-1.224754368,TRUE
1.784594264,-1.223526922,TRUE
2.697018978,-1.222868954,TRUE
2.848002379,-1.222792851,TRUE
2.788117911,-1.222630198,TRUE
25.51436408,-1.222206297,TRUE
40.53701219,-1.221762264,TRUE
1.918216361,-1.220241954,FALSE
0.317733178,-1.218807505,FALSE
10.33714877,-1.218397152,TRUE
41.29720268,-1.218050458,TRUE
3.927785862,-1.217515761,TRUE
8.597729681,-1.216863677,TRUE
2.614058288,-1.21574541,TRUE
3.749630941,-1.214066853,TRUE
18.96569622,-1.213978825,TRUE
14.34261605,-1.212372261,TRUE
14.80297064,-1.212280713,TRUE
33.97940382,-1.212186901,TRUE
1.693114373,-1.211904912,FALSE
32.65923401,-1.211396018,TRUE
0.809715924,-1.211176648,FALSE
68.51078068,-1.210980954,TRUE
0.873192002,-1.209392845,FALSE
34.45174278,-1.208492606,TRUE
54.26131299,-1.208225799,TRUE
29.30613806,-1.207863389,TRUE
24.05012046,-1.206431327,TRUE
3.49196611,-1.206218185,TRUE
4.769885231,-1.205856722,TRUE
8.090392844,-1.205798479,TRUE
19.31856634,-1.205757099,TRUE
7.994234036,-1.205215993,TRUE
64.82243989,-1.204074025,TRUE
12.58208576,-1.203719477,TRUE
3.441964344,-1.203698548,TRUE
20.41139224,-1.203628081,TRUE
11.4763851,-1.203626755,TRUE
44.14684887,-1.201491577,TRUE
11.31213559,-1.201425438,TRUE
2.372437344,-1.200755915,TRUE
18.82945232,-1.200496896,TRUE
3.380521576,-1.1995421,TRUE
36.700692,-1.199187228,TRUE
2.077059043,-1.19817916,TRUE
4.527670163,-1.197913914,TRUE
6.250574168,-1.196631305,TRUE
31.428407,-1.196517021,TRUE
18.95243087,-1.196382382,TRUE
6.838086258,-1.196308346,TRUE
42.64051645,-1.196082291,TRUE
1.209822745,-1.196053144,FALSE
14.89763032,-1.195114921,TRUE
16.93696608,-1.194872547,TRUE
62.88041333,-1.194698533,TRUE
56.14330559,-1.194011522,TRUE
70.11017049,-1.19376502,TRUE
35.7015258,-1.193084056,TRUE
1.096541197,-1.19276492,FALSE
0.569497922,-1.192760964,FALSE
13.45390152,-1.191068391,TRUE
1.851282954,-1.190487234,FALSE
1.222900528,-1.190423814,FALSE
1.292841898,-1.190350567,FALSE
2.276938203,-1.189958777,TRUE
50.68276886,-1.189672675,TRUE
1.298397811,-1.188759704,FALSE
0.158239868,-1.187768955,NA
1.13348385,-1.187409168,FALSE
7.697088128,-1.186544748,TRUE
5.235160451,-1.185541637,TRUE
16.02619265,-1.184714449,TRUE
2.663702826,-1.184033838,TRUE
2.620070867,-1.181583744,TRUE
12.3338646,-1.181522039,TRUE
67.40032117,-1.179892253,TRUE
31.32653352,-1.17938936,TRUE
38.75220975,-1.177843183,TRUE
24.52586295,-1.177780392,TRUE
5.516206092,-1.17646676,TRUE
30.89950564,-1.175888011,TRUE
12.76252143,-1.175785189,TRUE
80.0579836,-1.175051689,TRUE
39.89237379,-1.173913876,TRUE
7.175388105,-1.173336498,TRUE
5.540319243,-1.172416911,TRUE
40.13437833,-1.170154465,TRUE
1.902638641,-1.170058912,TRUE
0.474138662,-1.169884326,FALSE
15.00002846,-1.165231338,TRUE
3.377712754,-1.16294031,TRUE
2.220037916,-1.162570183,TRUE
21.13842203,-1.162041568,TRUE
64.47773547,-1.161066043,TRUE
112.6216416,-1.160942036,TRUE
4.217571034,-1.160108648,TRUE
15.44492219,-1.15963045,TRUE
4.789668926,-1.159077331,TRUE
5.878685506,-1.158715803,TRUE
7.470688423,-1.158422968,TRUE
18.45104123,-1.15774927,TRUE
9.077016282,-1.156587936,TRUE
5.997933351,-1.15614035,TRUE
3.623619483,-1.155960788,TRUE
7.372980522,-1.155716759,TRUE
1.959838554,-1.155356727,FALSE
62.5152946,-1.155060303,TRUE
1.862535316,-1.154969739,FALSE
12.51020126,-1.152971909,TRUE
35.79289265,-1.152419129,TRUE
23.83291449,-1.151463463,TRUE
47.22883922,-1.151368704,TRUE
3.794747242,-1.151135832,TRUE
24.83979675,-1.150844811,TRUE
3.622097681,-1.150565391,TRUE
14.8078688,-1.150102247,TRUE
46.87547412,-1.149594801,TRUE
7.519224798,-1.149384015,TRUE
5.519080516,-1.149283505,TRUE
25.12317826,-1.149045281,TRUE
36.42336228,-1.14902721,TRUE
16.40616011,-1.148693249,TRUE
1.93926141,-1.148476667,FALSE
84.1775562,-1.148371197,TRUE
2.402155323,-1.148324197,FALSE
1.68897058,-1.148117086,FALSE
8.676182169,-1.147080894,TRUE
1008.273548,-1.146849351,TRUE
22.64290338,-1.146792246,TRUE
15.40506623,-1.146391637,TRUE
1.108117659,-1.145533619,FALSE
17.05411554,-1.145315605,TRUE
1.208528826,-1.144940999,FALSE
70.35738739,-1.144564778,TRUE
18.21746752,-1.144449046,TRUE
2.973364545,-1.144240856,TRUE
73.12129304,-1.142889089,TRUE
2.03606146,-1.141731513,FALSE
23.08426244,-1.141488241,TRUE
12.54520615,-1.139119975,TRUE
4.058111555,-1.138762088,TRUE
35.3377982,-1.138345221,TRUE
7.879253685,-1.138032778,TRUE
34.09377433,-1.137874766,TRUE
14.95708773,-1.137434627,TRUE
4.301401918,-1.136695217,TRUE
54.41005732,-1.136207206,TRUE
25.23814596,-1.136051267,TRUE
26.32946378,-1.135374313,TRUE
17.23636277,-1.133647467,TRUE
1.820241211,-1.133004669,FALSE
6.731251052,-1.130048208,TRUE
14.87957222,-1.129249082,TRUE
12.43149527,-1.129184555,TRUE
7.211979099,-1.128386059,TRUE
112.8895781,-1.128294462,TRUE
44.23488981,-1.127939132,TRUE
66.64768974,-1.127059892,TRUE
11.78040097,-1.126610411,TRUE
28.63725641,-1.126536584,TRUE
40.13352307,-1.125958269,TRUE
15.57875436,-1.12399412,TRUE
35.92774408,-1.123640969,TRUE
17.51700605,-1.121819725,TRUE
30.64471938,-1.121184979,TRUE
6.16519243,-1.120752372,TRUE
25.23600829,-1.119787808,TRUE
1.269062689,-1.119172429,FALSE
1.660622315,-1.119067757,FALSE
29.99039801,-1.118827419,TRUE
42.60200247,-1.118808053,TRUE
7.483588638,-1.118206554,TRUE
36.17503105,-1.117767213,TRUE
4.593425653,-1.117427371,TRUE
1.745173379,-1.117190205,TRUE
14.95570213,-1.116633357,TRUE
106.670871,-1.116585142,TRUE
2.21769399,-1.116184335,FALSE
29.4267695,-1.115732225,TRUE
4.402615696,-1.115486114,TRUE
3.718488013,-1.114993346,TRUE
15.97336919,-1.113598512,TRUE
17.02336818,-1.112626561,TRUE
19.21433599,-1.111570459,TRUE
6.730311435,-1.111444486,TRUE
3.57243919,-1.111208757,TRUE
16.07621857,-1.11114897,TRUE
44.57993867,-1.110180873,TRUE
4.478180545,-1.109384008,TRUE
22.49599221,-1.109245735,TRUE
34.22339943,-1.109094408,TRUE
7.192925741,-1.107825899,TRUE
9.583452148,-1.107086802,TRUE
10.62023975,-1.106828489,TRUE
