Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold10990.1,88.8050801,0.817203143,0.098579063,8.289824635,1.13e-16,3.83e-15
SymbC1.scaffold10990.2,58.1334185,0.623793879,0.106546708,5.854651822,4.78e-9,5.73e-8
SymbC1.scaffold10993.1,132.1863834,0.490157221,0.12913794,3.795609739,1.47e-4,7.16e-4
SymbC1.scaffold10999.1,10.48002659,0.992574389,0.211821938,4.68589041,2.79e-6,2e-5
SymbC1.scaffold11.172,0.824371166,3.766665434,0.799070051,4.713811298,2.43e-6,1.76e-5
SymbC1.scaffold11.424,3.09324892,1.906792778,0.504720924,3.777915056,1.58e-4,7.62e-4
SymbC1.scaffold110.4,35.4790685,-0.785025467,0.133839501,-5.865424334,4.48e-9,5.4e-8
SymbC1.scaffold110.7,5.820862147,6.066447963,0.657631138,9.224696965,2.84e-20,1.42e-18
SymbC1.scaffold1100.3,64.06837169,0.383910802,0.11849808,3.239806106,0.00119611,0.004518209
SymbC1.scaffold1100.4,160.0561946,0.737230976,0.085656403,8.606840258,7.51e-18,2.82e-16
SymbC1.scaffold1100.5,3.205804582,1.922802399,0.448506268,4.287124917,1.81e-5,1.09e-4
SymbC1.scaffold11000.1,1.528786127,-3.076324248,0.641186526,-4.797861659,1.6e-6,1.21e-5
SymbC1.scaffold11004.1,11.61642167,5.004481855,0.537084753,9.317862457,1.19e-20,6.13e-19
SymbC1.scaffold1101.5,21.61789803,1.280513779,0.195099903,6.563374765,5.26e-11,8.55e-10
SymbC1.scaffold1101.9,71.73458301,-0.552807649,0.11698895,-4.725297991,2.3e-6,1.67e-5
SymbC1.scaffold1101.16,35.08836639,0.281162476,0.118240659,2.377883199,0.01741234,0.045234947
SymbC1.scaffold11019.1,7.279353095,0.874856929,0.292522868,2.990730045,0.002783114,0.00942318
SymbC1.scaffold1102.1,143.7797586,0.829975009,0.078258169,10.60560214,2.81e-26,2.48e-24
SymbC1.scaffold1103.1,14.95416337,2.446433881,0.234484427,10.43324673,1.75e-25,1.48e-23
SymbC1.scaffold11036.2,2.435804135,1.471693637,0.492270222,2.989605242,0.002793382,0.00945384
SymbC1.scaffold11040.1,5.115562563,-0.892804417,0.330678645,-2.69991555,0.006935708,0.02072559
SymbC1.scaffold11044.1,20.78646175,0.759386877,0.266073044,2.854054156,0.004316517,0.013765999
SymbC1.scaffold11049.1,72.59513321,0.372287346,0.087073988,4.275528839,1.91e-5,1.14e-4
SymbC1.scaffold1105.2,9.031005462,1.129637165,0.257202571,4.392013495,1.12e-5,7.1e-5
SymbC1.scaffold11052.1,3.749630941,-1.214066853,0.388900565,-3.121792466,0.001797536,0.006453662
SymbC1.scaffold11067.1,111.288981,0.69658708,0.149210052,4.668499667,3.03e-6,2.16e-5
SymbC1.scaffold11069.2,68.16264552,-0.571218822,0.138715605,-4.117913218,3.82e-5,2.14e-4
SymbC1.scaffold11069.4,22.77292611,-0.658389338,0.151875902,-4.335048074,1.46e-5,8.98e-5
SymbC1.scaffold11069.5,7.059449054,0.917808368,0.273666483,3.353747808,7.97e-4,0.00317137
SymbC1.scaffold11071.1,11.8398211,3.217461235,0.381675389,8.429836793,3.46e-17,1.24e-15
SymbC1.scaffold11075.1,137.3925247,0.564054222,0.125357454,4.499566676,6.81e-6,4.54e-5
SymbC1.scaffold1109.1,49.9569098,0.658288957,0.119785309,5.495573397,3.89e-8,3.99e-7
SymbC1.scaffold1109.2,26.84723335,1.475167262,0.183745409,8.028321747,9.88e-16,3.02e-14
SymbC1.scaffold1109.4,4.986145101,1.052118972,0.342615417,3.070845385,0.002134537,0.007466089
SymbC1.scaffold1109.6,69.54379422,-0.847356856,0.145377152,-5.82867971,5.59e-9,6.6e-8
SymbC1.scaffold1109.10,61.7650992,-0.3857487,0.141900277,-2.718449248,0.006558872,0.019689421
SymbC1.scaffold11098.1,27.58711661,-0.762297879,0.185720243,-4.104549219,4.05e-5,2.26e-4
SymbC1.scaffold111.1,33.8902178,-0.52487162,0.186536589,-2.813773007,0.004896379,0.015335037
SymbC1.scaffold111.4,54.87501964,-0.420485817,0.120326493,-3.494540615,4.75e-4,0.00201955
SymbC1.scaffold111.5,42.66471454,0.401316374,0.107215459,3.743083123,1.82e-4,8.64e-4
SymbC1.scaffold111.6,106.3607841,-0.690218679,0.093543875,-7.378555579,1.6e-13,3.69e-12
SymbC1.scaffold11101.1,1008.273548,-1.146849351,0.164744696,-6.961373434,3.37e-12,6.47e-11
SymbC1.scaffold11103.2,5.098070119,4.700681764,0.623688936,7.536900998,4.81e-14,1.2e-12
SymbC1.scaffold1111.2,27.7803296,-0.60784527,0.145997825,-4.163385781,3.14e-5,1.79e-4
SymbC1.scaffold1111.3,86.32470649,0.55263184,0.10356123,5.33628115,9.49e-8,9.12e-7
SymbC1.scaffold1111.11,127.0279536,-0.452457718,0.163047277,-2.775009344,0.005520012,0.016999079
SymbC1.scaffold11110.1,3.453770022,2.449411968,0.521771437,4.69441559,2.67e-6,1.92e-5
SymbC1.scaffold11118.1,12.00737789,1.169704838,0.243116061,4.811302199,1.5e-6,1.14e-5
SymbC1.scaffold11119.1,82.41730604,-0.602863128,0.12706908,-4.744373141,2.09e-6,1.54e-5
SymbC1.scaffold1112.3,5.093460513,1.053626136,0.369957185,2.847967765,0.004399938,0.013991971
SymbC1.scaffold11126.1,29.27909164,1.135500091,0.165871923,6.845643747,7.61e-12,1.4e-10
SymbC1.scaffold1113.1,348.1350578,0.28318199,0.053341493,5.308850074,1.1e-7,1.04e-6
SymbC1.scaffold1113.5,114.1461385,0.761137494,0.11182262,6.80665052,9.99e-12,1.8e-10
SymbC1.scaffold1113.8,50.55105276,1.408989846,0.16579244,8.49851685,1.92e-17,6.98e-16
SymbC1.scaffold1113.10,16.46353089,0.428971028,0.181196912,2.367430128,0.017912102,0.046321324999999997
SymbC1.scaffold11142.1,271.5608247,-0.674994001,0.126933155,-5.317712307,1.05e-7,9.99e-7
SymbC1.scaffold1115.3,23.84051031,1.594930576,0.18463817,8.638141183,5.71e-18,2.17e-16
SymbC1.scaffold1115.4,12.90051842,1.453172516,0.255536976,5.686740666,1.29e-8,1.43e-7
SymbC1.scaffold11158.1,24.570629,-0.897157753,0.184692832,-4.85756672,1.19e-6,9.24e-6
SymbC1.scaffold1116.6,16.10024437,-0.450445983,0.174422773,-2.582495254,0.009808871,0.027842003
SymbC1.scaffold1116.10,10.28007498,0.711329598,0.295473044,2.407426373,0.016065401,0.042247326
SymbC1.scaffold11171.1,0.91397598,3.590943215,0.78755447,4.559612514,5.12e-6,3.5e-5
SymbC1.scaffold11172.1,7.964489421,0.841767371,0.253216036,3.324305148,8.86e-4,0.003472801
SymbC1.scaffold11172.2,2.889450273,1.169476187,0.386475009,3.026007271,0.002478063,0.008529878
SymbC1.scaffold1118.1,40.73525127,0.511103305,0.154546205,3.307122981,9.43e-4,0.003667198
