Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
EBP1,296,364,321,333,452,157,259,165,178,317,93
EBP2,209,225,173,165,133,38,83,61,45,106,29
ECA1,333,375,431,303,318,153,212,131,131,290,112
ECE2,67,90,69,54,67,14,48,18,23,38,18
Ech1,138,175,205,133,168,60,101,59,51,129,49
ECHIA,159,140,91,82,121,27,72,31,25,49,27
eco47IIM,62,89,111,70,123,45,79,38,79,106,38
ECU01_0970,7,17,11,12,26,15,9,12,18,28,8
Eefsec,3,1,1,2,8,2,1,5,4,2,6
EFHC1,328,453,478,354,532,110,335,97,101,203,83
efp,131,149,157,119,126,51,93,53,67,149,50
Eftud2,528,608,633,445,686,139,411,166,176,331,119
egl-4,56,117,111,157,193,69,107,49,76,162,83
egl-9,25,25,29,16,27,24,25,33,25,65,14
egl1,62,77,61,38,97,62,72,61,61,138,36
egl5,227,243,251,184,132,75,101,52,69,123,54
EGLN2,27,58,33,30,37,15,24,19,25,36,7
EGLN3,86,90,130,49,85,38,58,39,44,112,37
Ehhadh,191,234,226,114,131,75,78,57,69,127,57
eIF-2gamma,614,673,620,640,717,180,479,198,230,410,126
eIF-4E,391,424,424,331,331,97,221,147,125,249,83
eif3b,108,103,140,112,134,92,100,95,84,199,57
eif3g,176,197,178,240,195,48,124,46,45,93,30
eif3k,306,315,274,296,276,90,161,96,98,231,62
EIF4-A,115,107,91,104,130,88,87,98,106,195,84
Eif4a3,138,170,157,157,186,116,132,74,105,224,77
Eif4e1b,109,112,101,86,110,30,75,42,27,83,24
EIF4G,44,52,72,28,73,46,52,46,49,100,20
Elavl1,93,115,120,49,57,29,53,22,20,70,18
ELD1,63,72,92,50,68,14,42,13,16,42,17
ELF5A-3,1613,1508,1245,1483,1672,595,1157,824,758,1342,469
EMB2076,4,12,6,8,7,1,2,8,10,8,4
EMB8,22,21,29,15,27,5,22,8,9,14,7
EMC1,38,35,32,29,14,9,16,9,9,20,8
EML6,228,270,293,207,290,158,199,115,131,267,84
ENDOG,50,51,44,40,27,33,18,7,22,50,20
Endou,8,9,8,6,10,1,3,7,5,15,6
eng1,21,44,40,44,78,31,48,34,24,52,15
ENKD1,61,71,84,27,34,26,33,35,35,59,13
ENO,268,354,314,269,340,133,232,152,162,315,126
Eno2,102,164,147,100,205,146,133,152,134,251,86
enol-1,11,12,11,5,7,3,5,6,11,17,15
ENT7,221,231,271,275,303,175,236,149,146,334,91
ENTPD2,15,25,26,13,31,25,27,24,24,64,25
EOGT,27,29,25,29,27,10,16,19,18,47,44
EPHX2,9,8,14,12,21,0,8,3,2,6,1
Eprs,147,175,195,133,189,162,128,170,169,339,120
erd-2,76,72,64,51,63,20,32,29,19,43,10
ERD2A,64,91,90,74,73,36,42,45,59,91,28
ERDJ3B,94,135,137,96,96,39,78,48,38,101,34
ERECTA,93,130,151,74,120,111,76,64,79,169,45
ERF2,154,181,196,149,166,35,96,40,50,83,41
ERG3,70,90,51,64,41,48,42,43,45,107,27
ERI3,265,309,259,327,441,175,264,191,181,365,123
erkA,17,15,27,23,34,17,20,9,5,18,2
eryG,57,83,99,78,103,52,60,43,58,131,33
esf2,22,30,35,20,26,13,15,11,12,30,8
Esi_0076_0031,42,63,58,45,54,27,16,17,23,38,11
esrp1,16,25,33,20,31,16,17,11,20,38,9
ETFB,167,161,123,132,122,29,93,64,48,84,33
ETHE1,151,171,181,68,78,53,56,61,45,102,29
ETN8,211,295,281,321,344,146,231,162,174,338,104
Evi5,14,21,16,27,32,22,19,34,23,61,19
exo1,121,158,106,128,102,19,65,15,13,35,14
EXOSC2,66,70,46,63,45,15,34,18,28,50,12
Exosc8,18,19,20,19,8,4,14,7,3,21,4
EXPA10,568,662,637,595,500,191,350,236,198,414,170
F8H,3,17,14,17,21,7,15,12,13,22,11
FAB1D,18,18,14,39,36,28,19,17,20,61,20
fabG,13,10,24,4,9,5,7,3,3,9,2
FACE1,286,287,221,174,179,158,148,200,173,361,120
FAD2,201,241,236,165,145,85,126,96,91,194,72
FAD4L1,49,55,53,39,46,15,30,14,16,28,4
fadA,8,11,14,9,7,6,8,5,10,15,8
fadD29,22,28,50,16,52,42,33,35,33,64,16
FADS2P1,502,595,628,294,339,167,218,176,208,441,153
faeC,27,34,37,28,27,18,24,22,30,59,22
Faf1,80,110,111,94,127,18,87,20,29,48,23
fah,91,124,114,104,133,73,103,88,87,182,45
FAL1,29,52,27,21,15,9,11,6,14,30,8
FAM184A,35,44,50,27,32,72,26,89,57,158,65
Fam221a,42,50,33,43,31,10,18,11,10,20,6
Fam3b,29,34,42,20,46,21,28,10,18,43,15
FAM3D,137,202,237,152,200,63,117,55,56,147,47
FAR1,11,22,28,11,37,36,27,18,28,56,24
fbaA,22,31,38,22,38,5,33,4,7,2,5
FBL4,2,1,1,3,11,7,7,4,5,11,4
fbp,169,159,153,136,108,58,80,58,57,89,18
FBXO18,90,96,116,62,87,50,74,50,63,122,47
FCA,42,66,50,42,64,40,37,24,24,55,23
FCPA,7,8,5,4,6,0,6,0,0,0,1
fcsA,6,4,7,10,8,2,11,13,7,7,7
