baseMean,log2FoldChange,sig
31.97071347,0.566034127,TRUE
24.55264075,-0.451782886,TRUE
2.251807155,0.978037979,TRUE
48.94050457,-0.357879346,TRUE
12.97022705,-0.584740036,TRUE
5.911956274,2.371313267,TRUE
3.351246365,-5.655783196,TRUE
26.42708495,-0.637742067,TRUE
204.6553469,-0.286058321,TRUE
37.26090555,-0.332177588,TRUE
9.922714969,-1.604007485,TRUE
5.61131245,2.533883314,TRUE
14.11153321,0.598380059,TRUE
1.967298029,-1.343050127,TRUE
8.669090196,0.958619817,TRUE
0.697355093,1.972999156,TRUE
133.3557223,-0.891945684,TRUE
16.91093633,0.712511763,TRUE
8.795896889,0.751443208,TRUE
53.60367533,1.189060485,TRUE
208.205876,-0.216402126,TRUE
47.50445405,0.471423039,TRUE
3.861816408,1.893720254,TRUE
5.703040992,-0.830498928,TRUE
23.82610896,-1.148600477,TRUE
23.99940461,0.61143142,TRUE
80.33677734,0.838590827,TRUE
22.50161047,0.734226275,TRUE
37.00092763,-0.446798127,TRUE
9.31571955,-1.02521819,TRUE
23.21832992,0.439024183,TRUE
20.21515587,1.302435417,TRUE
26.90716453,-0.915082151,TRUE
23.52412761,-0.923701587,TRUE
61.8559739,0.955380704,TRUE
3.308436991,1.705870418,TRUE
5.589875435,1.878566335,TRUE
4.294043493,0.833418489,TRUE
66.01168739,-0.734187412,TRUE
49.46018528,0.341282111,TRUE
64.16904614,0.766192485,TRUE
17.38542885,0.833303964,TRUE
16.05464205,0.950382939,TRUE
0.993825858,2.463298917,TRUE
121.8092565,-0.330925878,TRUE
165.0312516,0.77989272,TRUE
52.30604972,0.346674143,TRUE
20.36133634,-0.464088623,TRUE
61.44010361,0.583539195,TRUE
38.51946659,-0.873386233,TRUE
7.480623949,-1.11562369,TRUE
106.3770213,-0.612929121,TRUE
8.490402941,0.741623239,TRUE
6.679641521,0.825749664,TRUE
14.6178704,-0.485993053,TRUE
9.631142013,-1.430061347,TRUE
61.93032606,0.488674103,TRUE
26.87092659,-0.907261937,TRUE
9.486723509,-0.934818503,TRUE
15.88352215,1.861165937,TRUE
15.84576374,0.692102336,TRUE
127.2094776,-0.541836248,TRUE
14.43899512,3.698454104,TRUE
21.12748983,0.725960526,TRUE
20.48907027,-0.79862774,TRUE
11.47269444,-1.200947876,TRUE
55.0756984,0.451280006,TRUE
3.430447209,1.029676675,TRUE
18.25445089,-0.726519414,TRUE
37.97031442,0.882171363,TRUE
27.65808612,1.265782281,TRUE
30.15016222,6.133587327,TRUE
38.76748349,0.714036095,TRUE
170.9689085,0.509099495,TRUE
100.4240349,-0.353719131,TRUE
68.91766143,0.787881211,TRUE
57.42642738,-0.939823336,TRUE
2.96058217,1.036962502,TRUE
42.26353017,-0.481194999,TRUE
23.15595253,4.101353793,TRUE
9.273795906,-1.2219761,TRUE
6.306791611,-0.82133059,TRUE
9.903225676,-0.872013883,TRUE
72.4020281,-0.403428895,TRUE
18.39594057,0.565317052,TRUE
109.8813413,-0.251389626,TRUE
33.36111039,-0.458498081,TRUE
131.5913957,0.23832704,TRUE
44.67264566,-0.54809172,TRUE
19.49274432,0.60016989,TRUE
6.994969922,-0.671022644,TRUE
25.62617952,-0.479320514,TRUE
10.64326995,-0.556429375,TRUE
25.07309072,0.572561121,TRUE
19.56841752,-0.640487139,TRUE
15.73631931,1.736439116,TRUE
11.31426918,-0.764964321,TRUE
32.30973044,-0.818613053,TRUE
20.77918344,-0.69689927,TRUE
11.9811286,-0.61742184,TRUE
20.21746821,0.375274799,TRUE
2.643282209,-0.982595722,TRUE
31.56400159,-0.880847607,TRUE
39.76570899,0.550451735,TRUE
28.23218695,0.695630452,TRUE
54.49157706,0.462400983,TRUE
316.7263711,-0.745391563,TRUE
18.15238411,0.476066044,TRUE
2.726610692,-2.074698261,TRUE
21.52606376,-1.232972585,TRUE
8.008844928,-3.031690176,TRUE
26.34574768,-1.093549105,TRUE
129.6266674,-0.934961039,TRUE
48.01319548,-0.81686873,TRUE
19.85405871,0.522997389,TRUE
21.2328363,-0.546816382,TRUE
19.53649465,1.619155702,TRUE
59.95078948,-0.319813273,TRUE
1.331062205,1.874044113,TRUE
3.957455379,-0.88760007,TRUE
15.16110783,-0.597812589,TRUE
24.93879349,0.325371546,TRUE
7.118011413,1.105454794,TRUE
115.9893522,0.296383879,TRUE
35.29877856,0.956258012,TRUE
10.93012405,-0.827225123,TRUE
9.370656718,-1.532593066,TRUE
36.94618249,-0.587930403,TRUE
18.96067551,0.615580045,TRUE
25.82522063,0.689564831,TRUE
12.40535601,-0.626064047,TRUE
